Layer,NMT,TNU,NEL,NLT,NCDSPL,Layer Score
L1,1,1,1,1,0,4
L2,1,1,2,1,0,5
L3,1,1,4,3,1,10
L4,2,3,5,4,1,15
L5,1,2,3,2,2,10
L6,1,1,2,2,1,7
L7,1,1,1,1,1,5
