Layer,NMT,TNU,NEL,NLT,NCDSPL,Layer Score
L1,1,1,2,2,0,6
L2,2,2,3,2,1,10
L3,1,1,4,3,1,10
L4,2,3,4,4,1,14
L5,1,1,3,3,0,8
L6,2,2,2,2,2,10
